[004 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 0 | Verificados: 0
[392 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 3 | Verificados: 5
[593 ms] Preparación: 9 | Tránsito: 0 | Entregados: 0 | Fallidos: 6 | Verificados: 8
[794 ms] Preparación: 11 | Tránsito: 0 | Entregados: 0 | Fallidos: 9 | Verificados: 13
[996 ms] Preparación: 14 | Tránsito: 0 | Entregados: 0 | Fallidos: 9 | Verificados: 19
[1197 ms] Preparación: 18 | Tránsito: 0 | Entregados: 0 | Fallidos: 11 | Verificados: 23
[1397 ms] Preparación: 21 | Tránsito: 0 | Entregados: 0 | Fallidos: 13 | Verificados: 29
[1598 ms] Preparación: 24 | Tránsito: 0 | Entregados: 0 | Fallidos: 15 | Verificados: 33
[1798 ms] Preparación: 28 | Tránsito: 0 | Entregados: 0 | Fallidos: 16 | Verificados: 38
[1998 ms] Preparación: 32 | Tránsito: 0 | Entregados: 0 | Fallidos: 20 | Verificados: 41
[2199 ms] Preparación: 34 | Tránsito: 0 | Entregados: 0 | Fallidos: 23 | Verificados: 45
[2399 ms] Preparación: 37 | Tránsito: 0 | Entregados: 0 | Fallidos: 28 | Verificados: 46
[2600 ms] Preparación: 43 | Tránsito: 0 | Entregados: 0 | Fallidos: 28 | Verificados: 52
[2800 ms] Preparación: 44 | Tránsito: 0 | Entregados: 0 | Fallidos: 31 | Verificados: 57
[3000 ms] Preparación: 47 | Tránsito: 0 | Entregados: 0 | Fallidos: 31 | Verificados: 63
[3201 ms] Preparación: 53 | Tránsito: 0 | Entregados: 0 | Fallidos: 33 | Verificados: 67
[3402 ms] Preparación: 54 | Tránsito: 0 | Entregados: 0 | Fallidos: 34 | Verificados: 74
[3602 ms] Preparación: 57 | Tránsito: 0 | Entregados: 0 | Fallidos: 37 | Verificados: 77
[3803 ms] Preparación: 61 | Tránsito: 0 | Entregados: 0 | Fallidos: 38 | Verificados: 82
[4003 ms] Preparación: 64 | Tránsito: 0 | Entregados: 0 | Fallidos: 42 | Verificados: 86
[4203 ms] Preparación: 67 | Tránsito: 0 | Entregados: 0 | Fallidos: 42 | Verificados: 92
[4404 ms] Preparación: 70 | Tránsito: 0 | Entregados: 0 | Fallidos: 44 | Verificados: 96
[4604 ms] Preparación: 75 | Tránsito: 0 | Entregados: 0 | Fallidos: 48 | Verificados: 99
[4805 ms] Preparación: 77 | Tránsito: 0 | Entregados: 0 | Fallidos: 51 | Verificados: 103
[5005 ms] Preparación: 80 | Tránsito: 0 | Entregados: 0 | Fallidos: 53 | Verificados: 107
[5206 ms] Preparación: 84 | Tránsito: 0 | Entregados: 0 | Fallidos: 54 | Verificados: 112
[5406 ms] Preparación: 87 | Tránsito: 0 | Entregados: 0 | Fallidos: 59 | Verificados: 115
[5606 ms] Preparación: 90 | Tránsito: 0 | Entregados: 0 | Fallidos: 59 | Verificados: 121
[5807 ms] Preparación: 94 | Tránsito: 0 | Entregados: 0 | Fallidos: 62 | Verificados: 124
[6007 ms] Preparación: 97 | Tránsito: 0 | Entregados: 0 | Fallidos: 66 | Verificados: 128
[6208 ms] Preparación: 100 | Tránsito: 0 | Entregados: 0 | Fallidos: 69 | Verificados: 131
[6409 ms] Preparación: 104 | Tránsito: 0 | Entregados: 0 | Fallidos: 72 | Verificados: 134
[6609 ms] Preparación: 108 | Tránsito: 0 | Entregados: 0 | Fallidos: 75 | Verificados: 138
[6810 ms] Preparación: 110 | Tránsito: 0 | Entregados: 0 | Fallidos: 78 | Verificados: 142
[7011 ms] Preparación: 113 | Tránsito: 0 | Entregados: 0 | Fallidos: 80 | Verificados: 146
[7211 ms] Preparación: 118 | Tránsito: 0 | Entregados: 0 | Fallidos: 80 | Verificados: 153
[7412 ms] Preparación: 120 | Tránsito: 0 | Entregados: 0 | Fallidos: 82 | Verificados: 158
[7614 ms] Preparación: 123 | Tránsito: 0 | Entregados: 0 | Fallidos: 84 | Verificados: 162
[7814 ms] Preparación: 128 | Tránsito: 0 | Entregados: 0 | Fallidos: 88 | Verificados: 165
[8015 ms] Preparación: 130 | Tránsito: 0 | Entregados: 0 | Fallidos: 91 | Verificados: 169
